1,Gerardo Kuhic,489,72
2,Miss Lesa Yost,98,56
3,Dr. Emmie Tremblay,433,97
4,Larry Braun,353,41
5,Chester Prosacco,60,11
6,Henry Schinner,316,78
7,Geraldo Hegmann III,110,8
8,Mr. Carita Corkery,203,78
9,Arthur Glover,381,47
10,Dr. Mana McCullough,46,5
11,Mose Schaden,332,90
12,Lawrence Wiegand MD,454,42
13,Reyes Thompson IV,140,48
14,Christopher McKenzie DDS,125,0
15,Clint Johnston,33,93
16,Mrs. Kenton Hickle,365,19
17,Ursula Sporer,414,36
18,Miss Antonio Considine,404,12
19,Jacquelin Yundt III,131,18
20,Lynn Olson,342,12
21,Pedro Paucek,492,45
22,Lien Gorczany,168,76
23,Ms. Sabrina White,283,52
24,Pedro Cummerata,232,6
25,Dannie Swaniawski,498,92
26,Trevor Hagenes,217,75
27,Lula Boehm,446,27
28,Harris Homenick,321,14
29,Norman Cummerata,142,90
30,Lory Moen V,43,86
31,Elke Hermann,186,94
32,Lavette Quigley,310,21
33,Viki Bechtelar III,275,25
34,Rocky O'Hara,54,13
35,Lindsay Murphy,130,51
36,Lina Schaefer,424,97
37,Alphonse Huel,438,88
38,Tamela Hodkiewicz,364,36
39,Luetta DuBuque,156,73
40,Dr. Latrina Connelly,20,85
41,Dennis Keeling,168,21
42,Harold Gorczany,378,19
43,Sharla Pacocha,428,44
44,Nicholle Roob,254,74
45,Alfred Brakus,128,24
46,Rubin Heller,207,22
47,Clarice Fisher,12,13
48,Fanny VonRueden,77,99
49,Drusilla Schumm,297,33
50,Mr. Willian Willms,96,49
51,Shaina Funk,455,53
52,Devon Lebsack,66,51
53,Ms. Evalyn Smith,391,67
54,Mr. Cherie Ratke,247,8
55,Ms. Jeff O'Conner,89,19
56,Latisha Tromp,208,25
57,Buford Connelly PhD,290,59
58,Harlan Wisoky,260,63
59,James West,349,34
60,Murray Shanahan,349,51
61,Josue Schroeder,327,36
62,Napoleon O'Conner,426,77
63,Lyndon Smitham,129,5
64,Ms. Wanda Walsh,8,75
65,France Jast,295,96
66,Nadia Mayert,200,23
67,Jeremiah Leuschke,153,20
68,Mr. Norberto Kunde,275,15
69,Seymour Jacobi,383,12
70,Ernesto McCullough,68,95
71,Coy Kuhlman,16,48
72,Kendrick Hodkiewicz,31,97
73,Carmela Kirlin,170,99
74,Toby Stark DVM,12,82
75,Laurence Hermiston,175,50
76,Eulah Bergstrom,346,77
77,Waylon Treutel PhD,331,49
78,Williams Oberbrunner III,457,24
79,Hans Maggio,496,60
80,Micheal Monahan,177,24
81,Ira Balistreri,75,31
82,Drema Wiegand,208,64
83,Risa Stroman,202,12
84,Domingo Witting,400,66
85,Mrs. Adrian Osinski,391,34
86,Rosalee McKenzie,369,48
87,Brianne Ebert,39,19
88,Dirk Nitzsche,480,10
89,Fidel Stroman II,339,52
90,Barton Torp,399,87
91,Mr. Rey Doyle,384,98
92,Flora Orn,104,13
93,Deshawn Wolf,205,84
94,Miss Sanda Kilback,52,17
95,Mr. Markus Corkery,481,22
96,Lyn Jerde,135,93
97,Miss Dawna Kilback,117,18
98,Vito Bogan I,332,68
99,Damaris Witting,437,53
100,Isiah Ledner,325,20
101,Ms. Dion Brekke,403,80
102,Malcolm Ebert,416,37
103,Vaughn Runolfsdottir,217,17
104,Santiago Funk,88,38
105,Esmeralda Zboncak,91,52
106,Danyel Bauch,45,87
107,Owen Schowalter,77,34
108,Tania Bergnaum,340,12
109,Tula Hauck,290,37
110,Esther O'Reilly,168,92
111,Clementine Smitham,120,43
112,Kelsey Gibson PhD,244,87
113,Phil Erdman,69,50
114,Misty Fisher DDS,280,65
115,Luanna Steuber MD,64,22
116,Russell Swift,168,85
117,Mitchel Hettinger,411,94
118,Caron Russel,116,93
119,Sunny Klocko,217,39
120,Hannah Treutel,404,83
121,Nikia Dooley,265,35
122,Wiley Denesik,494,21
123,Domingo Reynolds,136,95
124,Giselle Grimes,189,96
125,Paola Keeling,282,2
126,Dannie Predovic,17,79
127,Amberly Runte,98,8
128,Santo Kozey,55,62
129,Carmelia Hackett,77,87
130,Olin Wisozk,320,93
131,Cyrus McKenzie I,339,81
132,Pasquale Goodwin,23,51
133,Hassan Homenick,201,74
134,Tijuana Upton,352,30
135,Mr. Ben Hills,25,49
136,Wilbur Hartmann,176,3
137,Mr. Derrick Funk,131,69
138,Corinna Cormier,24,80
139,Leta Wilkinson,220,76
140,Lillian Boehm Sr.,102,81
141,Gail Williamson,424,94
142,Miss Homer Dickens,452,33
143,Alvaro O'Kon,367,57
144,Melda Hirthe,450,83
145,Rafaela Gerhold,228,77
146,Norbert Pagac,111,51
147,Vernon Walsh,470,92
148,Mirna Hudson,193,88
149,Rosaline Green,368,39
150,Mr. Tresa Zboncak,237,46
151,Mr. Victoria Howe,267,99
152,Alton Moore,8,62
153,Andrea Russel,228,19
154,Chester Dietrich,282,42
155,Helena Gaylord,284,5
156,Brad Parisian III,153,73
157,Leanora Cassin,195,6
158,Brittni Hilpert,61,91
159,Miss Selina Kuhn,295,11
160,Dr. Natosha Bauch,480,67
161,Katharina Carter,107,22
162,Louie Jacobi PhD,14,10
163,Concha Smith,418,95
164,Mr. Curtis Rutherford,93,48
165,Gayle Gislason,490,43
166,Andy Conn,168,65
167,Mr. Jayson MacGyver,10,23
168,Mozella Swift,306,65
169,Adaline Harber PhD,190,53
170,Stephan Towne,38,62
171,Elizabeth Stroman,22,6
172,Shirely Lehner,72,54
173,Lorna Bosco,182,55
174,Candida Willms Sr.,416,64
175,Maisie Pollich II,252,30
176,Brice Swaniawski,388,42
177,Majorie Berge Jr.,390,97
178,Dr. Kassie Jerde,217,91
179,Marc O'Kon,271,98
180,Shanell Weimann IV,120,84
181,Ella Bartoletti,406,82
182,Luanna Jacobs,277,80
183,Season Bartoletti I,413,16
184,Frances Gaylord,132,31
185,Liberty Bauch,28,92
186,Riley Mann,286,54
187,Monty Wehner,129,3
188,Silas Waters Jr.,95,6
189,Miss Titus Hand,342,56
190,Leslie Keeling MD,440,55
191,Dr. Shera Mohr,353,7
192,Kimi VonRueden,323,91
193,Mrs. Una Lindgren,447,39
194,Rosario Frami,66,39
195,Alton Kohler,98,66
196,Fernande Wilderman,170,19
197,Newton Hessel,97,39
198,Miss Derrick Stroman,63,30
199,Donnie Runolfsson,109,83
200,Everette Glover,442,67
201,Richard Grimes,228,37
202,Barabara Harvey,342,57
203,Craig Sauer,246,66
204,Rachal Ryan,243,89
205,Sang Heidenreich,348,23
206,Daphine Gottlieb,254,47
207,Chas Brown,480,10
208,Mr. Jame Kemmer,280,1
209,Stanton Stark,145,49
210,Ms. Truman Bernier,107,50
211,Faustino Jakubowski,459,79
212,Willis Stanton,53,51
213,Dr. Vernie Streich,300,81
214,Adella Batz,158,6
215,Meta Dibbert,190,49
216,Gary Kuvalis,288,84
217,Marilyn Blick,309,63
218,Miss Carlos Rutherford,239,9
219,Dr. Judson Wintheiser,393,59
220,Oda Metz III,448,29
221,Courtney Conn,327,32
222,Ms. Colton Hamill,157,70
223,Aleshia Hermann,112,73
224,Mrs. Malcolm Kirlin,62,27
225,Mrs. Lamar Roberts,305,87
226,Warren Will,343,99
227,Allen McClure,395,47
228,Luigi Dooley,411,12
229,Mrs. Ferdinand Kuphal,123,79
230,Adaline Lesch,479,49
231,Robbie Robel,150,82
232,Glynis Gutkowski,111,99
233,Nicolas Cartwright,101,72
234,Kasey Halvorson V,56,41
235,Johnny Kassulke PhD,344,13
236,Amparo Stark,75,24
237,Ashlie Nitzsche V,129,16
238,Jerry Hagenes,269,5
239,Kamilah Kreiger DDS,471,74
240,Thresa Christiansen DVM,160,91
241,Jerrold Bergnaum,99,22
242,Ramon Green,108,78
243,Queen Willms III,270,5
244,Cecil DuBuque,151,79
245,Alejandra Haley,154,77
246,Tianna Klein,81,84
247,Adan Stanton III,99,94
248,Amos Reynolds,173,23
249,Sharlene Feil,263,15
250,Lura Schmidt,352,15
252,Timothy Kilback,180,49
253,Dr. Wallace Botsford,253,3
254,Harlan Vandervort,126,93
255,Mrs. Stevie Cruickshank,168,19
256,Miss Brunilda Predovic,143,31
257,Mi Wiegand,49,10
258,Mac Kerluke,121,40
259,Cicely McCullough III,206,82
260,Jacob Schultz,23,79
261,Mrs. Leif Mann,223,69
262,Rosa Von,298,91
263,Dong Ondricka,12,82
264,Cathrine Osinski,416,14
265,Dr. Carley Rath,462,83
266,Lessie Kunze,217,69
267,Gabriel Feeney,185,99
268,Rosemary Jenkins,360,90
269,Leland Purdy,73,53
270,Colton Koch,316,91
271,Napoleon Cronin V,89,97
272,Ms. Lyndsay Ortiz,483,46
273,Mozella Doyle IV,190,19
274,Jerry Lueilwitz,445,12
275,Sydney Morissette,77,74
276,Chuck Beahan V,307,79
277,Rodolfo Mraz,9,39
278,Mrs. Meda Donnelly,74,27
279,Belle Mueller,244,63
280,Christa Abbott,434,64
281,Maria Glover,254,18
282,Elene Goldner MD,226,79
283,Zenia Rath,371,47
284,Leonila Mann,430,94
285,Eddy Schmitt,201,43
286,Diann Satterfield,314,74
287,Walker Kozey,105,4
288,Nicola Steuber,69,90
289,Justina Adams,439,71
290,Cole Prosacco,249,73
291,Ms. Helga Bauch,294,6
292,Evan Weissnat,403,45
293,Genie Roob Sr.,258,75
294,Garfield McKenzie,213,28
295,Inell VonRueden,297,62
296,Sydney Olson,74,39
297,Annamaria Zemlak,97,69
298,Manda Schulist,156,75
299,Dr. Barney Hermiston,359,88
300,Alpha Price,21,11
301,Dr. Nikki Cormier,41,62
302,Idella Collier,241,44
303,Von Nikolaus,185,19
304,Miss Gabrielle Hills,265,11
305,Gordon Gutmann,368,61
306,Mrs. Amber Pfannerstill,141,28
307,Homer Gerhold,111,31
308,Magali White,36,39
309,Colton Swaniawski,445,69
310,Ms. Deangelo Howe,300,66
311,Lajuana Gleason,377,57
312,Mohammed Lang,407,41
313,Brenna Beer,90,5
314,Dudley Kub,460,51
315,Miss Marquitta Skiles,141,89
316,Asia Skiles,107,4
317,Yulanda Mayer V,487,81
318,Mr. Nathan McDermott,136,29
319,Myron Mertz,86,13
320,Heriberto Rohan,380,97
321,Lloyd Roberts,207,38
322,Sherwood Wisozk,238,41
323,Cristobal Farrell,375,61
324,Lewis Krajcik,323,53
325,Mrs. Gilbert Buckridge,159,71
326,Alecia Fadel,221,99
327,Blanca Mitchell,439,75
328,Willodean Toy DDS,38,56
329,Rutha Nienow,55,47
330,Maud Aufderhar IV,162,70
331,Vernia Robel,9,43
332,Lurline Bechtelar DVM,83,84
333,Timothy Price,81,58
334,Erich Ortiz,258,33
335,Harold Orn,28,89
336,Russell Schneider Jr.,250,5
337,Quintin Koch,399,7
338,Caleb Kuvalis PhD,320,50
339,Shaunte Kohler,161,32
340,Mrs. Bernetta Koch,79,4
341,Patsy Klocko MD,449,13
342,Vergie Lehner,377,5
343,Torie Hudson,58,23
344,Karl Bernier DDS,200,36
345,Darnell Hessel,363,66
346,Frances Schultz,366,86
347,Hugh Will,491,39
348,Monique Murazik II,323,8
349,Modesta Cummerata,161,38
350,Precious Abbott,41,24
351,Wilhelmina Schaden,260,68
352,Dominique Prosacco,476,28
353,Dorine Gusikowski,157,4
354,Nathaniel King PhD,53,41
355,Cristen Bednar,233,33
356,Arminda Weimann IV,371,31
357,Mackenzie Aufderhar,403,55
358,Darren Bernhard,480,4
359,Edna Jacobs,187,55
360,Elsie Purdy,477,30
361,Andrew Ledner,284,48
362,Rachell Wilkinson,226,61
363,Michal Gerhold IV,132,14
364,Ms. Anita Treutel,206,11
365,Micheal Kautzer,192,63
366,Rebekah Metz,40,93
367,Earnest Ruecker,270,98
368,Melissia Lowe,154,57
369,Donny Lemke,201,22
370,Dagny Jones,59,18
371,Warner Emard,285,28
372,Karleen Mraz,236,52
373,Irvin Aufderhar,394,77
374,Jovita Lindgren,92,17
375,Deangelo Hills,14,17
376,Jamey Pacocha,245,53
377,Chadwick Deckow,438,37
378,Nathalie Wilderman,33,63
379,Edwin Willms,325,34
380,Mrs. Louann Jones,289,37
381,Kip Smith,446,0
382,Ms. Felton Brekke,409,18
383,Salvatore Grant,247,0
384,Roman Walter,118,75
385,Allen Batz,429,57
386,Mrs. Gonzalo Leannon,453,34
387,Loris Rosenbaum,65,83
388,Evelyn Monahan,18,35
389,Raylene Klocko,481,93
390,Joey D'Amore,491,96
391,Elton Orn,448,41
392,Dr. Coleman Stark,230,80
393,Dario Wintheiser,296,69
394,Celena Sauer,388,10
395,Mrs. Jacqualine Braun,30,31
396,Min Bechtelar Jr.,425,54
397,Miss Nia Marquardt,347,44
398,Breann Wiza,63,16
399,Donovan Yost,131,94
400,Miss Gene Wintheiser,329,55
401,Hildegarde Mertz,212,13
402,Tinisha Streich,113,72
403,Mr. Lavette Miller,21,21
404,Meggan Robel,3,85
405,Brendan Corwin,347,55
406,Miss Lashawnda Botsford,40,50
407,Shanon Pollich,342,88
408,Tifany Carter,402,93
409,Douglass Hettinger,97,17
410,Dr. Johnathan Legros,116,31
411,Jeffery Walker,283,10
412,Samual Mayer,258,94
413,Janessa Fay,252,92
414,Mrs. Thanh Crona,128,0
415,Bong Dibbert,291,57
416,Mrs. Jean Welch,496,85
417,Christiana Donnelly,135,72
418,Joyce Abbott,182,2
419,Dominique Nienow,482,91
420,Janell Kub,49,5
421,Ashleigh Adams,142,71
422,Lilian Mann MD,98,22
423,Pete Hegmann,484,33
424,Diann Koch,285,71
425,Miss Joana Schaden,496,1
426,Ricarda Schmidt,445,35
427,Cordell Hermann I,118,6
428,Leo Grant,313,16
429,David Balistreri,361,17
430,Bertram Kunze,43,67
431,Maximo Schuster,86,41
432,Mr. Elva Bogan,172,66
433,Wallace Casper,67,97
434,Rossie Dach,346,71
435,Sanjuanita Erdman,252,61
436,Trinidad Kuhic Jr.,239,29
437,Man O'Hara DVM,216,17
438,Lashaun Gulgowski,314,27
439,Jude Mosciski,90,23
440,Mr. Georgette Breitenberg,476,72
441,Harry Lockman,417,31
442,Ms. Reid Hammes,207,51
443,Delmer Sporer Jr.,358,15
444,Catherina Von,310,45
445,Jeff Kuhn,287,83
446,Virgilio Weimann,466,88
447,Hayley Treutel,67,60
448,Roosevelt Kihn PhD,0,6
449,Ms. Wava Durgan,83,82
450,Bryon Toy,233,2
451,Silas Beier,96,56
452,Sonya Sauer,303,45
453,Stefanie Senger,354,35
454,Mary Hickle,457,2
455,Lester Harvey II,153,27
456,Kelsey Purdy,78,59
